Alm_type,Inci_no   ,Unit  ,Resp_code,Station,District,Inci_type,Inci_desc                                         ,Alm_date  ,Disp_time,Notif_time,Roll_time,Arv_time,Clr_time_b,Shift,Mutl_aid,Alarms     ,Prop_loss            ,Cont_loss            ,Prop_val             ,Cont_val             ,Prop_use,Number  ,St_prefix,Street                   ,St_suffix,St_type,Zip       
1,20-2000327,1SQ   ,3,5,5,321,"EMS call, excluding vehicle accident with injury  ",1/4/2020,12:08:00,12:10:40,12:11:56,12:15:20,12:23:23,C    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
26,20-2000342,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/4/2020,16:43:18,16:45:21,16:46:21,16:47:57,16:53:30,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
2,20-2000359,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,1/4/2020,20:35:53,20:38:59,20:39:57,        ,20:44:02,C    ,N       ,1,0,0,0,0,963,100,E        ,UMSTEAD                  ,         ,ST     ,27707
6,20-2000361,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/4/2020,20:59:45,21:01:26,21:01:45,21:05:10,21:11:14,C    ,N       ,1,0,0,0,0,439A    ,412,         ,LIBERTY                  ,         ,ST     ,27701
6,20-2000367,1SQ   ,3,3,3,311,"Medical assist, assist EMS crew                   ",1/4/2020,22:43:15,22:44:34,22:45:34,22:48:30,22:52:17,C    ,N       ,1,0,0,0,0,419,910,         ,CHESTER                  ,         ,ST     ,27701
87,20-2000373,1SQ   ,3,9,9,322,Motor vehicle accident with injuries              ,1/5/2020,0:33:39,0:34:40,0:37:08,0:39:20,0:54:04,C    ,N       ,1,0,0,0,0,960,        ,E        ,CLUB                     ,         ,BLVD   ,27704
6,20-2000381,1SQ   ,3,5,5,311,"Medical assist, assist EMS crew                   ",1/5/2020,2:27:26,2:29:30,2:32:19,2:36:29,2:40:17,C    ,N       ,1,0,0,0,0,429A    ,500,         ,COBB                     ,         ,ST     ,27707
31,20-2000382,1SQ   ,3,5,5,311,"Medical assist, assist EMS crew                   ",1/5/2020,2:49:28,2:51:20,2:53:37,2:57:55,3:08:31,C    ,N       ,1,0,0,0,0,419,817,         ,EXUM                     ,         ,ST     ,27701
6,20-2000398,1SQ   ,3,3,51,321,"EMS call, excluding vehicle accident with injury  ",1/5/2020,9:53:13,9:53:56,9:54:45,9:57:20,10:05:04,B    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
6,20-2000411,1SQ   ,3,5,51,321,"EMS call, excluding vehicle accident with injury  ",1/5/2020,12:48:21,12:49:41,12:50:28,12:53:47,13:08:12,B    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
17,20-2000416,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/5/2020,14:23:17,14:25:15,14:25:51,14:27:39,14:51:59,B    ,N       ,1,0,0,0,0,115,        ,         ,BROADWAY                 ,         ,ST     ,27701
32,20-2000420,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,1/5/2020,14:54:34,15:00:18,15:00:46,        ,15:02:27,B    ,N       ,1,0,0,0,0,429A    ,700,S        ,MANGUM                   ,         ,ST     ,27701
12,20-2000421,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/5/2020,15:03:53,15:05:42,15:05:48,15:08:11,15:15:39,B    ,N       ,1,0,0,0,0,960,        ,         ,PEACE                    ,         ,ST     ,27701
6,20-2000424,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/5/2020,15:32:05,15:33:16,15:34:07,15:35:40,15:56:37,B    ,N       ,1,0,0,0,0,429A    ,910,E        ,MAIN                     ,         ,ST     ,27701
9,20-2000427,1SQ   ,SI       ,3,3,321,"EMS call, excluding vehicle accident with injury  ",1/5/2020,16:16:30,16:18:47,16:18:47,16:22:29,16:23:53,B    ,N       ,1,0,0,0,0,419,308,         ,CODY                     ,         ,ST     ,27703
10,20-2000439,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/5/2020,18:48:25,18:50:16,18:51:00,18:52:46,19:07:24,B    ,N       ,1,0,0,0,0,429A    ,504,         ,LIBERTY                  ,         ,ST     ,27701
12,20-2000442,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/5/2020,19:53:11,19:55:50,19:56:47,19:59:42,20:11:44,B    ,N       ,1,0,0,0,0,429A    ,519,E        ,MAIN                     ,         ,ST     ,27701
5,20-2000452,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/5/2020,22:35:47,22:40:06,22:41:06,22:41:15,22:45:37,B    ,N       ,1,0,0,0,0,419,215,E        ,ENTERPRISE               ,         ,ST     ,27707
21,20-2000456,1SQ   ,1,5,51,311,"Medical assist, assist EMS crew                   ",1/5/2020,23:33:02,23:35:37,23:36:38,23:41:56,23:51:55,B    ,N       ,1,0,0,0,0,419,305,         ,NORMANDY                 ,         ,ST     ,27707
GS      ,20-2000460,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/6/2020,0:28:37,0:28:47,0:29:32,0:34:18,0:58:00,B    ,N       ,1,0,0,0,0,962,409,         ,LYRIC                    ,         ,ST     ,27701
69,20-2000462,1SQ   ,3,3,3,441,"Heat from short circuit (wiring), defective/worn  ",1/6/2020,2:12:51,2:14:41,2:15:34,2:22:31,2:28:21,B    ,N       ,1,0,0,0,0,419,2936,         ,CAROLYN                  ,         ,DR     ,27703
21,20-2000463,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/6/2020,2:48:53,2:50:48,2:52:12,2:57:45,2:57:55,B    ,N       ,1,0,0,0,0,429A    ,519,E        ,MAIN                     ,         ,ST     ,27701
10,20-2000465,1SQ   ,3,5,51,311,"Medical assist, assist EMS crew                   ",1/6/2020,4:30:04,4:30:56,4:32:41,4:36:30,4:36:45,B    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
6,20-2000473,1SQ   ,C        ,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/6/2020,6:03:23,6:04:30,         ,        ,6:05:08,B    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
GS      ,20-2000477,1SQ   ,C        ,4,4,321,"EMS call, excluding vehicle accident with injury  ",1/6/2020,7:05:41,7:05:58,7:06:07,        ,7:13:03,C    ,N       ,1,0,0,0,0,511,3011,         ,FAYETTEVILLE             ,         ,ST     ,27707
12,20-2000480,1SQ   ,C        ,1,1,311,"Medical assist, assist EMS crew                   ",1/6/2020,7:48:14,7:48:39,7:49:41,        ,7:58:38,C    ,N       ,1,0,0,0,0,961,1219,S        ,DURHAM FREEWAY           ,         ,       ,27701
77,20-2000485,1SQ   ,3,1,1,324,Motor Vehicle Accident with no injuries           ,1/6/2020,8:59:33,9:01:37,9:02:13,9:03:14,9:13:19,C    ,N       ,1,0,0,0,0,963,        ,N        ,ROXBORO                  ,         ,ST     ,27701
12,20-2000506,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,1/6/2020,12:30:52,12:33:31,12:34:33,        ,12:36:17,C    ,N       ,1,0,0,0,0,UUU     ,907,         ,FAYETTEVILLE             ,         ,ST     ,27701
6,20-2000514,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/6/2020,13:45:24,13:46:49,13:48:03,13:51:14,14:13:15,C    ,N       ,1,0,0,0,0,419,303,N        ,HYDE PARK                ,         ,AVE    ,27703
69,20-2000529,1SQ   ,3,5,5,651,"Smoke scare, odor of smoke                        ",1/6/2020,18:12:56,18:14:21,18:15:06,18:17:43,18:27:29,C    ,N       ,1,0,0,0,0,429A    ,500,         ,COBB                     ,         ,ST     ,27701
6,20-2000541,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/6/2020,21:41:22,21:42:57,21:44:03,21:46:08,21:53:15,C    ,N       ,1,0,0,0,0,429A    ,519,E        ,MAIN                     ,         ,ST     ,27701
1,20-2000543,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/6/2020,21:51:06,21:53:47,21:53:47,21:56:26,21:57:53,C    ,N       ,1,0,0,0,0,419,1104,         ,FRANKLIN                 ,         ,ST     ,27701
6,20-2000545,1SQ   ,C        ,3,51,611,Dispatched & cancelled en route                   ,1/6/2020,22:22:01,22:26:03,22:27:06,        ,22:29:05,C    ,N       ,1,0,0,0,0,419,1414,N        ,HYDE PARK                ,         ,AVE    ,27701
6,20-2000554,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/7/2020,0:08:30,0:13:18,0:14:33,0:18:01,0:41:12,C    ,N       ,1,0,0,0,0,419,7,         ,KINGSTON MILL            ,         ,CT     ,27701
6,20-2000559,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/7/2020,1:24:41,1:25:49,1:26:57,1:30:39,1:32:18,C    ,N       ,1,0,0,0,0,419,109,E        ,UMSTEAD                  ,         ,ST     ,27707
23,20-2000560,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/7/2020,1:41:15,1:44:18,1:45:45,1:48:43,2:07:08,C    ,N       ,1,0,0,0,0,429A    ,428,E        ,LAKEWOOD                 ,         ,AVE    ,27707
26,20-2000564,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/7/2020,3:53:17,3:55:30,3:56:57,4:01:40,4:02:37,C    ,N       ,1,0,0,0,0,419,216,         ,LAUREL                   ,         ,AVE    ,27701
77,20-2000577,1SQ   ,3,1,1,322,Motor vehicle accident with injuries              ,1/7/2020,8:51:30,8:54:22,8:55:11,8:57:09,9:14:05,A    ,N       ,1,0,0,0,0,963,        ,         ,BLACKWELL                ,         ,ST     ,27701
91,20-2000580,1SQ   ,R        ,5,5,311,"Medical assist, assist EMS crew                   ",1/7/2020,9:23:00,9:36:57,9:37:57,9:43:41,10:07:54,A    ,N       ,1,0,0,0,0,429,15,         ,WOOD COTTAGE             ,         ,CT     ,27707
69,20-2000585,1SQ   ,C        ,18,18,651,"Smoke scare, odor of smoke                        ",1/7/2020,10:31:51,10:33:31,10:35:16,        ,10:44:34,A    ,2,1,0,0,0,0,519,2107,         ,NC 54                    ,         ,HWY    ,27713
69,20-2000596,1SQ   ,R        ,2,2,651,"Smoke scare, odor of smoke                        ",1/7/2020,12:29:17,12:31:24,12:31:59,12:42:13,12:46:50,A    ,N       ,1,0,0,0,0,519,2608,         ,ERWIN                    ,         ,RD     ,27705
10,20-2000599,1SQ   ,3,9,9,311,"Medical assist, assist EMS crew                   ",1/7/2020,12:56:09,12:58:24,12:59:19,13:03:41,13:21:03,A    ,N       ,1,0,0,0,0,419,116,         ,HIGBEE                   ,         ,ST     ,27704
6,20-2000613,1SQ   ,3,3,3,311,"Medical assist, assist EMS crew                   ",1/7/2020,16:40:23,16:42:12,16:42:28,16:46:13,16:57:10,A    ,N       ,1,0,0,0,0,460,1201,E        ,MAIN                     ,         ,ST     ,27701
10,20-2000624,1SQ   ,3,9,9,311,"Medical assist, assist EMS crew                   ",1/7/2020,18:55:10,18:56:17,18:56:55,19:00:51,19:13:33,A    ,N       ,1,0,0,0,0,500,2000,         ,AVONDALE                 ,         ,DR     ,27704
26,20-2000636,1SQ   ,3,2,51,311,"Medical assist, assist EMS crew                   ",1/7/2020,21:41:46,21:46:25,21:47:29,21:50:16,22:03:14,A    ,N       ,1,0,0,0,0,449,1108,W        ,MAIN                     ,         ,ST     ,27701
23,20-2000643,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/7/2020,23:37:38,23:40:00,23:41:28,23:44:54,23:47:20,A    ,N       ,1,0,0,0,0,162,106,E        ,MAIN                     ,         ,ST     ,27701
10,20-2000664,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/8/2020,8:39:14,8:40:28,8:41:44,8:46:26,8:52:50,C    ,N       ,1,0,0,0,0,429A    ,815,         ,DACIAN                   ,         ,AVE    ,27701
10,20-2000675,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/8/2020,11:03:05,11:04:43,11:04:57,11:08:01,11:29:23,C    ,N       ,1,0,0,0,0,161,202,N        ,CORCORAN                 ,         ,ST     ,27701
77,20-2000685,1SQ   ,3,1,1,323,Motor vehicle/pedestrian accident (MV Ped)        ,1/8/2020,12:53:32,12:54:07,12:54:52,12:56:20,13:09:52,C    ,N       ,1,0,0,0,0,161,102,W        ,MORGAN                   ,         ,ST     ,27701
6,20-2000691,1SQ   ,3,2,2,311,"Medical assist, assist EMS crew                   ",1/8/2020,13:29:18,13:33:59,13:34:45,13:40:29,13:43:23,C    ,N       ,1,0,0,0,0,419,910,         ,ROSEHILL                 ,         ,AVE    ,27705
6,20-2000695,1SQ   ,3,2,51,311,"Medical assist, assist EMS crew                   ",1/8/2020,14:28:39,14:32:35,14:33:39,14:39:26,14:43:17,C    ,N       ,1,0,0,0,0,599,8,         ,EAST CAMPUS UNION        ,         ,DR     ,27705
26,20-2000718,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/8/2020,19:42:01,19:43:32,19:44:27,19:46:10,19:57:09,C    ,N       ,1,0,0,0,0,429,1102,N        ,MANGUM                   ,         ,ST     ,27701
19,20-2000721,1SQ   ,3,2,51,311,"Medical assist, assist EMS crew                   ",1/8/2020,20:16:22,20:19:49,20:20:31,20:23:57,20:29:13,C    ,N       ,1,0,0,0,0,900,        ,         ,CAMPUS                   ,         ,DR     ,27701
23,20-2000726,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/8/2020,22:02:44,22:06:13,22:07:16,22:08:59,22:17:16,C    ,N       ,1,0,0,0,0,963,112,E        ,MAIN                     ,         ,ST     ,27701
5,20-2000729,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/8/2020,22:19:49,22:21:55,22:22:15,22:24:05,22:26:15,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
69,20-2000737,1SQ   ,C        ,3,3,111,Building fire                                     ,1/9/2020,1:07:35,1:09:19,1:10:22,        ,1:14:59,C    ,N       ,1,3000,1000,60000,8000,429,8,         ,ATKA                     ,         ,CT     ,27703
10,20-2000741,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/9/2020,3:26:04,3:27:13,3:28:23,3:32:12,3:33:00,C    ,N       ,1,0,0,0,0,511,1002,N        ,ALSTON                   ,         ,AVE    ,27701
60,20-2000758,1SQ   ,3,7,7,671,HazMat release investigation w/no HazMat          ,1/9/2020,8:17:46,8:18:41,8:19:53,8:26:44,8:57:06,A    ,N       ,1,0,0,0,0,213,1417,         ,OLD OXFORD               ,         ,RD     ,27704
77,20-2000775,1SQ   ,3,1,1,551,Assist police or other governmental agency        ,1/9/2020,11:25:22,11:33:51,11:33:58,11:36:33,11:40:24,A    ,N       ,1,0,0,0,0,963,475,S        ,ROXBORO                  ,         ,ST     ,27701
17,20-2000787,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/9/2020,15:04:17,15:07:37,15:08:43,15:11:12,15:38:52,A    ,N       ,1,0,0,0,0,429A    ,1107,         ,MORNING GLORY            ,         ,AVE    ,27701
60,20-2000797,1SQ   ,3,1,1,671,HazMat release investigation w/no HazMat          ,1/9/2020,16:23:46,16:28:34,16:29:23,16:29:56,16:59:33,A    ,N       ,1,0,0,0,0,254,305,E        ,MAIN                     ,         ,ST     ,27701
69,20-2000812,1SQ   ,3,5,5,651,"Smoke scare, odor of smoke                        ",1/9/2020,19:01:24,19:03:10,19:03:44,19:05:31,19:22:43,A    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
6,20-2000815,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/9/2020,19:36:58,19:38:00,19:38:53,19:40:16,19:45:46,A    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
69,20-2000818,1SQ   ,3,1,1,445,"Arcing, shorted electrical equipment              ",1/9/2020,20:04:23,20:05:57,20:06:15,20:08:18,20:13:14,A    ,N       ,1,0,0,0,0,419,1223,         ,FAYETTEVILLE             ,         ,ST     ,27707
23,20-2000837,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/10/2020,6:53:01,6:55:42,6:56:43,7:00:26,7:02:17,C    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
24,20-2000843,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,1/10/2020,8:28:15,8:31:45,         ,        ,8:32:41,C    ,N       ,1,0,0,0,0,UUU     ,414,E        ,MAIN                     ,         ,ST     ,27701
59,20-2000860,1SQ   ,C        ,3,3,413,Oil or other combustible liquid spill             ,1/10/2020,11:49:11,11:52:57,11:53:35,        ,11:57:30,C    ,N       ,1,0,0,0,0,962,        ,         ,HOLLOWAY                 ,         ,ST     ,27703
6,20-2000861,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/10/2020,12:14:48,12:15:51,12:17:00,12:19:30,12:21:50,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
61,20-2000864,1SQ   ,3,2,2,412,Gas leak (natural gas or LPG)                     ,1/10/2020,13:02:19,13:10:16,13:11:39,13:14:19,13:38:36,C    ,N       ,1,0,0,0,0,213,700,         ,WATTS                    ,         ,ST     ,27701
21,20-2000869,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/10/2020,13:45:44,13:47:49,13:48:04,13:50:40,14:08:06,C    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
6,20-2000871,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/10/2020,15:06:03,15:08:25,15:09:14,15:12:01,15:16:05,C    ,N       ,1,0,0,0,0,429A    ,1107,         ,MORNING GLORY            ,         ,AVE    ,27701
87,20-2000872,1SQ   ,C        ,16,16,463,"Vehicle accident, general cleanup                 ",1/10/2020,15:11:59,15:16:11,15:16:11,        ,15:18:02,C    ,N       ,1,0,0,0,0,963,3420,         ,SOUTHWEST DURHAM         ,         ,DR     ,27707
6,20-2000877,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/10/2020,16:14:52,16:15:56,16:16:16,16:22:09,16:40:04,C    ,N       ,1,0,0,0,0,429A    ,219,S        ,ALSTON                   ,         ,AVE    ,27701
26,20-2000896,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/10/2020,18:58:30,19:00:09,19:01:01,19:07:05,19:07:10,C    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
